name,brand,price
Apple ,Apple Refurbished  IOS Phones IPhone 7 Plus 128GB 99%New Mobile Phones - Silver,"₦ 125,500 "
Apple ,"Refurbished IPhone 7 4.7-Inch HD (2GB, 128GB ROM) IOS 12 12MP + 7MP 99%New Smartphone - Black","₦ 89,900 "
Apple ,IPhone SE Refurbished Smartphone 4inch 2+16GB (Gift)- Gray,"₦ 39,800 "
Apple ,IPhone 7 Plus 5.5 Inch Refurbished Smartphone 32GB-Black,"₦ 118,800 "
Apple ,Apple IPhone 6S Refurbished Smartphone 128GB With Finger Sensor - Gray,"₦ 69,512 "
Apple ,IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Gold,"₦ 90,700 "
Apple ,IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,"₦ 47,336 "
Apple ,IPhone 7 Plus 5.5 Inch Refurbished Smartphone 128GB-Red,"₦ 132,300 "
Apple ,IPhone 7 Plus 5.5 Inch Refurbished Smartphone 128GB-Black,"₦ 132,300 "
Apple ,Iphone 5 Black 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 19,200 "
Apple ,IPhone 5S 16GB Black 4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories) (Refurbiished),"₦ 26,800 "
Apple ,IPhone 7 4.7 Inch Refurbished Smartphone 32GB - Black,"₦ 90,700 "
Apple ,IPhone 5S 32GB Gold 4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories) (Refurbiished),"₦ 29,000 "
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM)IOS 11(12MP+12MP)+7MP 4G LTE Smartphone-Silver","₦ 367,000 "
